step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
740.0,43,358.0,4.64935064935065,3.669774499658475,43,8087.0,0.1559275904617875,43,8087.0
745.0,51,598.0,8.191780821917808,2.699082954025785,51,8328.0,0.11982282762302372,51,8328.0
750.0,58,877.0,11.38961038961039,2.632755614731775,58,8607.0,0.10714877802736161,58,8607.0
755.0,63,1182.0,15.35064935064935,2.0853121989089867,63,8912.0,0.06535223152300791,63,8912.0
760.0,64,1502.0,19.256410256410255,1.9960897357221103,64,9232.0,0.09813068413622086,64,9232.0
765.0,65,1823.0,23.371794871794872,1.6320920856934016,65,9553.0,0.07062780566925467,65,9553.0
770.0,67,2157.0,27.303797468354432,1.7101534221463373,67,9887.0,0.05174648993552864,67,9887.0
775.0,69,2499.0,30.475609756097562,1.897672626954211,69,10229.0,0.0746318405373128,69,10229.0
780.0,69,2844.0,33.857142857142854,2.2016113848957497,69,10574.0,0.10708854279639325,69,10574.0
785.0,70,3190.0,39.875,1.5385648073106633,70,10920.0,0.061264333121335036,70,10920.0
790.0,70,3540.0,44.25,1.5635076350562411,70,11270.0,0.023965962240032383,70,11270.0
795.0,70,3890.0,49.87179487179487,1.2818077511585677,70,11620.0,0.024226650564040986,70,11620.0
800.0,70,4240.0,54.35897435897436,1.2631334115731088,70,11970.0,0.04836017347567452,70,11970.0
805.0,71,4591.0,58.11392405063291,1.1557393126875595,71,12321.0,0.06274455730095116,71,12321.0
810.0,72,4951.0,61.123456790123456,1.4431086965259485,72,12681.0,0.049386583297342426,72,12681.0
815.0,72,5311.0,63.98795180722892,1.718571985404958,72,13041.0,0.0836049244410492,72,13041.0
820.0,72,5671.0,66.71764705882353,2.0538383715126582,72,13401.0,0.09606722757050101,72,13401.0
825.0,72,6031.0,70.12790697674419,2.175094396227525,72,13761.0,0.06316596808597912,72,13761.0
830.0,72,6391.0,75.18823529411765,2.045567064640468,72,14121.0,0.06293812544539186,72,14121.0
835.0,72,6751.0,82.32926829268293,1.598524042096964,72,14481.0,0.037630383916469265,72,14481.0
840.0,72,7111.0,86.71951219512195,1.598429538280652,72,14841.0,0.06071099816944035,72,14841.0
845.0,72,7471.0,91.10975609756098,1.6375183899432746,72,15201.0,0.07333132418589702,72,15201.0
850.0,72,7831.0,95.5,1.682260619975667,72,15561.0,0.06306768436392227,72,15561.0
855.0,72,8191.0,99.89024390243902,1.6922908633472042,72,15921.0,0.038186719671568024,72,15921.0
860.0,72,8551.0,104.28048780487805,1.6695719144119212,72,16281.0,0.06325657671415938,72,16281.0
865.0,72,8911.0,111.3875,1.3235743097367265,72,16641.0,0.05967593962913358,72,16641.0
870.0,72,9271.0,111.6987951807229,1.7867638401368942,72,17001.0,0.059671387955358,72,17001.0
875.0,72,9631.0,113.30588235294118,2.091472186682025,72,17361.0,0.09552082884165135,72,17361.0
880.0,72,9991.0,114.83908045977012,2.2078489262549645,72,17721.0,0.09823800199553387,72,17721.0
885.0,72,10351.0,118.97701149425288,2.2292925333662805,72,18081.0,0.09108270112546003,72,18081.0
890.0,72,10711.0,123.11494252873563,2.21636211994419,72,18441.0,0.09134620683222346,72,18441.0
895.0,72,11071.0,128.7325581395349,2.0943125643351723,72,18801.0,0.0629235876183755,72,18801.0
900.0,72,11431.0,131.39080459770116,2.216268943937506,72,19161.0,0.05987304752191745,72,19161.0
905.0,72,11791.0,140.36904761904762,1.8171625874615285,72,19521.0,0.06256341631780583,72,19521.0
910.0,72,12151.0,148.1829268292683,1.5385985798867179,72,19881.0,0.05803905578033192,72,19881.0
915.0,72,12511.0,147.18823529411765,1.9691896699583697,72,20241.0,0.0717096626268064,72,20241.0
920.0,72,12871.0,156.96341463414635,1.577889113182551,72,20601.0,0.049798541217837354,72,20601.0
925.0,72,13231.0,167.48101265822785,1.1467202556315352,72,20961.0,0.025093034989495125,72,20961.0
930.0,72,13591.0,167.79012345679013,1.513136226804305,72,21321.0,0.051266715988507745,72,21321.0
935.0,72,13951.0,168.0843373493976,1.6606626172916947,72,21681.0,0.0642790268590024,72,21681.0
940.0,72,14311.0,174.52439024390245,1.5846055011766822,72,22041.0,0.06838038453230966,72,22041.0
945.0,72,14671.0,178.91463414634146,1.5842458736118648,72,22401.0,0.07229323681815746,72,22401.0
950.0,72,15031.0,181.09638554216866,1.7325872594475016,72,22761.0,0.050830378164376036,72,22761.0
955.0,72,15391.0,183.22619047619048,1.8365652871738216,72,23121.0,0.06181669516850993,72,23121.0
960.0,72,15751.0,189.7710843373494,1.7598682668875927,72,23481.0,0.0838170125053397,72,23481.0
965.0,72,16111.0,185.183908045977,2.2325988850459604,72,23841.0,0.10323176451786187,72,23841.0
970.0,72,16471.0,191.52325581395348,2.064744798546921,72,24201.0,0.09210831677333786,72,24201.0
975.0,72,16831.0,191.26136363636363,2.278038683255068,72,24561.0,0.08154559932227107,72,24561.0
980.0,72,17191.0,199.8953488372093,2.0826818016267192,72,24921.0,0.08590319755622174,72,24921.0
985.0,72,17551.0,201.73563218390805,2.216591941256839,72,25281.0,0.07373330111885507,72,25281.0
990.0,72,17911.0,215.79518072289156,1.7726015885285826,72,25641.0,0.050875375539656605,72,25641.0
995.0,72,18271.0,214.95294117647057,1.9778624292325289,72,26001.0,0.07336170266137096,72,26001.0
1000.0,72,18631.0,227.20731707317074,1.5997203455278572,72,26361.0,0.06087759978405316,72,26361.0
1005.0,72,18991.0,231.59756097560975,1.6514917706285912,72,26721.0,0.051017850366014576,72,26721.0
