step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
530,12,97.0,1.7962962962962963,6.95515459076589
531,15,110.0,1.9642857142857142,6.672876338830662
532,15,125.0,2.232142857142857,6.556488900194776
533,13,69.0,1.2105263157894737,6.27229842547295
534,13,57.0,1.0,6.297360211583777
535,11,67.0,1.1754385964912282,6.58723609960997
536,15,80.0,1.4035087719298245,6.356516669742702
537,13,93.0,1.631578947368421,6.605906594570476
538,13,106.0,1.8596491228070176,6.7693485655380465
539,18,122.0,2.0677966101694913,6.717217099389436
540,16,95.0,1.5833333333333333,6.73171849361451
541,13,86.0,1.4576271186440677,6.874385866221533
542,14,91.0,1.5423728813559323,6.98039060133428
543,10,53.0,0.9137931034482759,6.997415251451777
544,5,24.0,0.42105263157894735,7.3531326029498345
545,5,26.0,0.45614035087719296,7.626936677979478
546,6,31.0,0.5344827586206896,7.656688776341298
547,7,38.0,0.6551724137931034,7.7916755998736145
548,5,9.0,0.15789473684210525,7.838943803743683
549,6,8.0,0.13559322033898305,7.682131773345929
550,4,10.0,0.17543859649122806,7.7761379441777825
551,7,16.0,0.2807017543859649,7.834931254989392
552,10,25.0,0.43103448275862066,7.930282548944709
553,10,35.0,0.603448275862069,8.222401137062993
554,12,46.0,0.7796610169491526,8.274972938704963
555,12,57.0,0.95,8.358945905480304
556,12,69.0,1.1694915254237288,8.613552605797302
557,14,82.0,1.4137931034482758,8.612086722291474
558,14,95.0,1.6666666666666667,8.432679163096433
559,13,108.0,1.894736842105263,8.448331824930971
560,14,121.0,2.086206896551724,8.348408282410547
561,14,134.0,2.2711864406779663,8.314972351640789
562,15,149.0,2.5254237288135593,8.263231108167146
563,17,165.0,2.7966101694915255,7.8073523374562335
564,17,181.0,3.0166666666666666,7.4986614171577965
565,16,197.0,3.283333333333333,7.1010134981462345
566,17,180.0,3.0,6.853101960624854
567,19,197.0,3.2295081967213113,6.623618454260391
568,19,216.0,3.6610169491525424,6.385514762911662
569,21,236.0,3.933333333333333,6.424482068013985
570,23,258.0,4.372881355932203,6.296384071655934
571,23,281.0,4.844827586206897,6.175413444606584
