Step,Waiting_Time,Queue_Length,Density
472,1206.0,75,0.5917576611482918
473,1231.0,75,0.6128918633321592
474,1256.0,75,0.6128918633321592
475,1281.0,75,0.6340260655160268
476,1306.0,75,0.6551602676998943
477,1331.0,75,0.6762944698837619
478,1356.0,75,0.6762944698837619
479,1173.0,69,0.6551602676998943
480,989.0,63,0.6762944698837619
481,859.0,63,0.6762944698837619
482,781.0,60,0.6551602676998942
483,725.0,54,0.6762944698837619
484,714.0,54,0.6974286720676295
485,728.0,51,0.6762944698837619
486,745.0,51,0.6762944698837619
487,762.0,51,0.6340260655160268
488,780.0,54,0.6340260655160268
489,800.0,60,0.5917576611482918
490,821.0,63,0.6128918633321594
491,842.0,63,0.5917576611482918
492,863.0,63,0.5917576611482918
493,885.0,66,0.5917576611482918
494,908.0,69,0.6128918633321593
495,931.0,69,0.5917576611482916
496,955.0,72,0.6128918633321593
497,979.0,72,0.6340260655160268
498,1004.0,75,0.6551602676998944
499,1029.0,75,0.676294469883762
500,1054.0,75,0.6974286720676295
501,1079.0,75,0.676294469883762
502,1104.0,75,0.676294469883762
503,1129.0,75,0.6974286720676295
504,1155.0,78,0.7396970764353648
505,1181.0,78,0.7396970764353648
506,1207.0,78,0.7396970764353648
507,1234.0,81,0.7608312786192323
508,1261.0,81,0.7819654808030999
509,1289.0,84,0.7819654808030999
510,1318.0,87,0.7819654808030999
511,1349.0,93,0.7819654808030999
512,1170.0,93,0.7608312786192323
513,994.0,90,0.7608312786192323
514,823.0,87,0.7608312786192323
515,695.0,81,0.7396970764353648
516,608.0,78,0.7185628742514971
517,556.0,75,0.7185628742514971
518,531.0,69,0.6974286720676296
519,547.0,66,0.7185628742514971
520,532.0,60,0.6974286720676296
521,519.0,57,0.7185628742514971
522,527.0,54,0.6762944698837621
523,542.0,51,0.6974286720676296
524,559.0,51,0.6762944698837619
525,576.0,51,0.6974286720676295
526,593.0,51,0.6551602676998943
527,610.0,51,0.6762944698837619
528,627.0,51,0.6340260655160268
529,645.0,54,0.6340260655160268
530,663.0,54,0.6340260655160269
531,681.0,54,0.5917576611482916
532,699.0,54,0.5917576611482916
533,717.0,54,0.5917576611482918
534,735.0,54,0.5917576611482918
535,753.0,54,0.570623458964424
536,772.0,57,0.570623458964424
537,792.0,60,0.5494892567805566
538,812.0,60,0.5494892567805566
539,832.0,60,0.5917576611482918
540,852.0,60,0.6551602676998943
541,872.0,60,0.676294469883762
542,892.0,60,0.718562874251497
543,912.0,60,0.718562874251497
544,933.0,63,0.6974286720676294
545,955.0,66,0.7396970764353646
546,977.0,66,0.7608312786192322
547,999.0,66,0.8030996829869674
